id,name,city,state,category,tags,price,duration_hours,rating,latitude,longitude,linked_place_id,near_place_name,popularity_score,image_url
A001,Baga Beach Water Sports,Goa,Goa,adventure,"water-sports,jet-ski,parasailing,beach",1800,2.5,4.6,15.5560,73.7525,P001,Baga Beach,94,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/BeachFun.jpg/330px-BeachFun.jpg
A002,Calangute Sunset Beach Walk,Goa,Goa,sightseeing,"beach,sunset,walks,family",0,1.5,4.5,15.5445,73.7560,P002,Calangute Beach,82,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/BeachFun.jpg/330px-BeachFun.jpg
A003,Anjuna Flea Market Browse,Goa,Goa,shopping,"market,shopping,local,bohemian",0,2,4.4,15.5769,73.7403,P003,Anjuna Beach,84,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/BeachFun.jpg/330px-BeachFun.jpg
A004,Vagator Cliff Sunset Session,Goa,Goa,sightseeing,"sunset,cliffs,photography,relaxed",0,1.5,4.5,15.5990,73.7348,P004,Vagator Beach,83,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/BeachFun.jpg/330px-BeachFun.jpg
A005,Dudhsagar Jeep Safari,Goa,Goa,adventure,"jeep-safari,waterfall,nature,day-trip",900,4,4.7,15.3150,74.3148,P005,Dudhsagar Falls,90,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/BeachFun.jpg/330px-BeachFun.jpg
A006,Old Goa Heritage Walk,Goa,Goa,cultural,"heritage,churches,history,guided",500,2,4.6,15.5015,73.9115,P006,Basilica of Bom Jesus,86,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Church_of_St._Francis_of_Assisi.jpg/330px-Church_of_St._Francis_of_Assisi.jpg
A007,Fort Aguada Sunset Tour,Goa,Goa,sightseeing,"fort,sunset,coastal,heritage",300,1.5,4.4,15.4933,73.7684,P007,Fort Aguada,80,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Galle_Fort.jpg/330px-Galle_Fort.jpg
A008,Chapora Fort Sunrise Hike,Goa,Goa,adventure,"hike,sunrise,fort,viewpoint",250,1.5,4.5,15.5932,73.7348,P008,Chapora Fort,79,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/BeachFun.jpg/330px-BeachFun.jpg
A009,Palolem Kayaking Experience,Goa,Goa,adventure,"kayaking,beach,south-goa,water",1200,2,4.6,15.0105,74.0238,P009,Palolem Beach,88,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/BeachFun.jpg/330px-BeachFun.jpg
A010,Colva Beachside Seafood Crawl,Goa,Goa,food,"seafood,coastal,food-trail,south-goa",1400,2.5,4.5,15.2802,73.9233,P010,Colva Beach,81,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/BeachFun.jpg/330px-BeachFun.jpg
A011,Hawa Mahal Photo Walk,Jaipur,Rajasthan,sightseeing,"photography,heritage,old-city,morning",300,1.5,4.5,26.9241,75.8269,P011,Hawa Mahal,88,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/East_facade_Hawa_Mahal_Jaipur_from_ground_level_%28July_2022%29_-_img_01.jpg/330px-East_facade_Hawa_Mahal_Jaipur_from_ground_level_%28July_2022%29_-_img_01.jpg
A012,City Palace Museum Circuit,Jaipur,Rajasthan,cultural,"museum,royal,history,heritage",700,2.5,4.7,26.9259,75.8239,P012,City Palace Jaipur,92,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/East_facade_Hawa_Mahal_Jaipur_from_ground_level_%28July_2022%29_-_img_01.jpg/330px-East_facade_Hawa_Mahal_Jaipur_from_ground_level_%28July_2022%29_-_img_01.jpg
A013,Amber Fort Guided Tour,Jaipur,Rajasthan,cultural,"fort,guide,history,architecture",800,3,4.8,26.9858,75.8516,P013,Amber Fort,95,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/20191219_Fort_Amber%2C_Amer%2C_Jaipur_0955_9481.jpg/330px-20191219_Fort_Amber%2C_Amer%2C_Jaipur_0955_9481.jpg
A014,Nahargarh Sunrise Viewpoint Ride,Jaipur,Rajasthan,sightseeing,"sunrise,viewpoint,fort,scenic",500,2,4.6,26.9371,75.8155,P014,Nahargarh Fort,86,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/East_facade_Hawa_Mahal_Jaipur_from_ground_level_%28July_2022%29_-_img_01.jpg/330px-East_facade_Hawa_Mahal_Jaipur_from_ground_level_%28July_2022%29_-_img_01.jpg
