id,name,city,state,price_per_night,hotel_type,rating,latitude,longitude,budget_category,nearby_area,popularity_score,tags,image_url
H001,Sea Crest Residency - Baga,Goa,Goa,2200,budget,4.2,15.5528,73.754,low,Baga,76,"wifi, ac, breakfast, parking, beach access",https://upload.wikimedia.org/wikipedia/commons/a/a8/Baga_Beach%2C_Calangute%2C_Goa.jpg
H002,Calangute Bay Stay - Calangute,Goa,Goa,3200,standard,4.4,15.5448,73.7564,moderate,Calangute,81,"wifi, ac, breakfast, room service, parking, beach access",https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Sunset_at_Calangute.jpg/3840px-Sunset_at_Calangute.jpg
H003,Anjuna Palm Retreat - Anjuna,Goa,Goa,4100,boutique,4.5,15.5783,73.7395,moderate,Anjuna,84,"wifi, cafe, room service, parking, local decor, beach access",https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Anjuna_Beach%2C_Goa%2C_India%2C_Legendary_Curlies_beach_shack.jpg/3840px-Anjuna_Beach%2C_Goa%2C_India%2C_Legendary_Curlies_beach_shack.jpg
H004,Vagator Cliff Resort - Vagator,Goa,Goa,6200,resort,4.6,15.5994,73.7351,high,Vagator,88,"pool, spa, bar, restaurant, garden, indoor games, beach access",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/BeachFun.jpg/3840px-BeachFun.jpg
H005,Old Goa Heritage Inn - Old Goa,Goa,Goa,3500,boutique,4.3,15.5013,73.9114,moderate,Old Goa,74,"wifi, cafe, room service, parking, local decor, beach access",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/BeachFun.jpg/3840px-BeachFun.jpg
H006,Aguada Seaview Hotel - Fort Aguada,Goa,Goa,7800,premium,4.7,15.4935,73.7687,high,Fort Aguada,90,"wifi, pool, restaurant, room service, parking, beach access, heritage decor",https://upload.wikimedia.org/wikipedia/commons/a/ad/Fort_aguada.jpg
H007,Palolem Shoreline Huts - Palolem,Goa,Goa,2800,budget,4.3,15.0102,74.0236,low,Palolem,79,"wifi, ac, breakfast, parking, beach access",https://upload.wikimedia.org/wikipedia/commons/9/9c/Palolem_Beach%2C_South_Goa.jpg
H008,Colva Sands Resort - Colva,Goa,Goa,4700,resort,4.4,15.2801,73.9237,moderate,Colva,80,"pool, spa, bar, restaurant, garden, indoor games, beach access",https://upload.wikimedia.org/wikipedia/commons/0/06/Colv%C3%A1_beach.jpg
H009,Panaji Riverfront Suites - Panaji,Goa,Goa,5600,premium,4.5,15.492,73.8286,high,Panaji,83,"wifi, pool, restaurant, room service, parking, beach access",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Panaji_City.JPG/1920px-Panaji_City.JPG
H010,Johari Courtyard Stay - Johari Bazaar,Jaipur,Rajasthan,2400,budget,4.2,26.9234,75.8262,low,Johari Bazaar,77,"wifi, ac, breakfast, parking, heritage decor",https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/East_facade_Hawa_Mahal_Jaipur_from_ground_level_%28July_2022%29_-_img_01.jpg/1920px-East_facade_Hawa_Mahal_Jaipur_from_ground_level_%28July_2022%29_-_img_01.jpg
