city,state,tier,tourism_type,latitude,longitude,best_season,popularity_score,notes,image_url
Goa,Goa,Tier 1,beaches nightlife adventure,15.2993,74.1240,winter,10,High tourist demand with strong domestic and foreign traveler interest,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/BeachFun.jpg/330px-BeachFun.jpg
Jaipur,Rajasthan,Tier 1,heritage culture palace market,26.9124,75.7873,winter,9,Core Rajasthan destination with dense sightseeing clusters,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/East_facade_Hawa_Mahal_Jaipur_from_ground_level_%28July_2022%29_-_img_01.jpg/330px-East_facade_Hawa_Mahal_Jaipur_from_ground_level_%28July_2022%29_-_img_01.jpg
Delhi,Delhi,Tier 1,heritage food market museum,28.6139,77.2090,winter,9,Major entry point with strong historical and cultural coverage,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Jama_Masjid_2011.jpg/330px-Jama_Masjid_2011.jpg
Udaipur,Rajasthan,Tier 1,lakes heritage palace romance,24.5854,73.7125,winter,9,Ideal for multi-day itinerary clustering,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Evening_view%2C_City_Palace%2C_Udaipur.jpg/330px-Evening_view%2C_City_Palace%2C_Udaipur.jpg
Manali,Himachal Pradesh,Tier 1,mountains adventure nature,32.2432,77.1892,summer,9,High demand hill destination for domestic travelers,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Manali_City.jpg/330px-Manali_City.jpg
Rishikesh,Uttarakhand,Tier 1,adventure wellness spiritual,30.0869,78.2676,all,8,Good mix of rafting yoga cafes and temples,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Trayambakeshwar_Temple_VK.jpg/330px-Trayambakeshwar_Temple_VK.jpg
Mumbai,Maharashtra,Tier 1,urban entertainment coastal food,19.0760,72.8777,winter,10,Strong city tourism and premium hotel coverage,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/%E0%A6%93%E0%A6%B0%E0%A6%B2%E0%A6%BF%E0%A6%B0_%E0%A6%97%E0%A6%97%E0%A6%A8%E0%A6%B0%E0%A7%88%E0%A6%96%E0%A6%BF%E0%A6%95_%E0%A6%A6%E0%A7%83%E0%A6%B6%E0%A7%8D%E0%A6%AF.jpg/330px-%E0%A6%93%E0%A6%B0%E0%A6%B2%E0%A6%BF%E0%A6%B0_%E0%A6%97%E0%A6%97%E0%A6%A8%E0%A6%B0%E0%A7%88%E0%A6%96%E0%A6%BF%E0%A6%95_%E0%A6%A6%E0%A7%83%E0%A6%B6%E0%A7%8D%E0%A6%AF.jpg
Varanasi,Uttar Pradesh,Tier 1,spiritual heritage culture,25.3176,82.9739,winter,9,Internationally recognized religious tourism city,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Varanasi%2C_India%2C_Ghats%2C_Cremation_ceremony_in_progress.jpg/330px-Varanasi%2C_India%2C_Ghats%2C_Cremation_ceremony_in_progress.jpg
Kochi,Kerala,Tier 1,heritage coastal culture,9.9312,76.2673,winter,8,Gateway city for Kerala tourism circuits,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Kochi_Skyline.jpg/330px-Kochi_Skyline.jpg
Agra,Uttar Pradesh,Tier 2,heritage monument culture,27.1767,78.0081,winter,9,Global tourist draw anchored by Taj Mahal,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Taj_Mahal%2C_Agra%2C_India.jpg/330px-Taj_Mahal%2C_Agra%2C_India.jpg
Jodhpur,Rajasthan,Tier 2,heritage fort market,26.2389,73.0243,winter,8,Strong fort and old city tourism appeal,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Mehrangarh_Fort_sanhita.jpg/330px-Mehrangarh_Fort_sanhita.jpg
Pushkar,Rajasthan,Tier 2,spiritual culture market,26.4898,74.5511,winter,7,Popular among both backpackers and festival visitors,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Pushkar.jpg/330px-Pushkar.jpg
Amritsar,Punjab,Tier 2,spiritual heritage food,31.6340,74.8723,winter,8,Golden Temple creates strong year-round appeal,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Golden_Temple_Amritsar_Gurudwara_%28cropped%29.jpg/330px-Golden_Temple_Amritsar_Gurudwara_%28cropped%29.jpg
Mysuru,Karnataka,Tier 2,palace culture heritage,12.2958,76.6394,winter,7,Good South India heritage city for itineraries,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Mysuru_Montage.jpg/330px-Mysuru_Montage.jpg
Shimla,Himachal Pradesh,Tier 2,hill station heritage nature,31.1048,77.1734,summer,8,Classic hill destination with broad tourist interest,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Landscape_of_Shimla_%2C_Himachal_Pradesh.jpg/330px-Landscape_of_Shimla_%2C_Himachal_Pradesh.jpg
Darjeeling,West Bengal,Tier 2,hills tea nature,27.0410,88.2663,summer,8,Strong domestic and foreign interest in Himalayan tourism,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/DarjeelingTrainFruitshop_%282%29.jpg/330px-DarjeelingTrainFruitshop_%282%29.jpg
Puducherry,Puducherry,Tier 2,coastal culture cafes,11.9416,79.8083,winter,7,Compact city well suited for walking itineraries,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Pondicherry-Rock_beach_aerial_view.jpg/330px-Pondicherry-Rock_beach_aerial_view.jpg
Hampi,Karnataka,Tier 2,heritage ruins culture,15.3350,76.4600,winter,8,High uniqueness for foreign and domestic travelers,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Wide_angle_of_Galigopuram_of_Virupaksha_Temple%2C_Hampi_%2804%29_%28cropped%29.jpg/330px-Wide_angle_of_Galigopuram_of_Virupaksha_Temple%2C_Hampi_%2804%29_%28cropped%29.jpg
Srinagar,Jammu and Kashmir,Tier 2,lakes mountains nature,34.0837,74.7973,summer,9,Premium scenic destination with seasonal strength,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Shankaracharya_Temple_in_Srinagar%2C_India%2C_under_snow.jpg/330px-Shankaracharya_Temple_in_Srinagar%2C_India%2C_under_snow.jpg
Jaisalmer,Rajasthan,Tier 2,desert fort culture,26.9157,70.9083,winter,8,Distinct desert tourism profile,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Jaisalmer_Fort.jpg/330px-Jaisalmer_Fort.jpg
Leh,Ladakh,Tier 2,adventure mountains landscape,34.1526,77.5770,summer,9,Strong aspirational destination with route planning relevance,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Leh_City_seen_from_Shanti_Stupa.JPG/330px-Leh_City_seen_from_Shanti_Stupa.JPG
Chennai,Tamil Nadu,Tier 2,urban temple coastal,13.0827,80.2707,winter,7,Useful metro destination with coastal and temple mix,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Chennai_Central.jpg/330px-Chennai_Central.jpg
Bengaluru,Karnataka,Tier 2,urban food garden nightlife,12.9716,77.5946,winter,7,Useful base city with surrounding excursion potential,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/View_from_Visvesvaraya_Industrial_and_Technological_Museum_%282025%29_02.jpg/330px-View_from_Visvesvaraya_Industrial_and_Technological_Museum_%282025%29_02.jpg
Alappuzha,Kerala,Tier 2,backwaters nature wellness,9.4981,76.3388,winter,8,Useful anchor for backwater-focused Kerala itineraries,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Alappuzha_Boat_Beauty_W.jpg/330px-Alappuzha_Boat_Beauty_W.jpg
Ahmedabad,Gujarat,Tier 3,heritage food culture,23.0225,72.5714,winter,7,Strong domestic tourism and access to Gujarat circuits,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Sabarmati_riverside.jpg/330px-Sabarmati_riverside.jpg
Dwarka,Gujarat,Tier 3,spiritual coastal,22.2442,68.9685,winter,7,Important pilgrimage destination,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Dwarakadheesh_Temple%2C_2014.jpg/330px-Dwarakadheesh_Temple%2C_2014.jpg
Somnath,Gujarat,Tier 3,spiritual coastal heritage,20.8880,70.4012,winter,7,High religious tourism importance,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Somanath_mandir_%28cropped%29.jpg/330px-Somanath_mandir_%28cropped%29.jpg
Madurai,Tamil Nadu,Tier 3,temple heritage culture,9.9252,78.1198,winter,7,Temple-led tourism with dense local attractions,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Meenakshi_Amman_West_Tower.jpg/330px-Meenakshi_Amman_West_Tower.jpg
Ooty,Tamil Nadu,Tier 3,hill station nature,11.4064,76.6932,summer,8,Popular domestic hill destination,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Ooty_lake.jpg/330px-Ooty_lake.jpg
Kodaikanal,Tamil Nadu,Tier 3,hill station lake nature,10.2381,77.4892,summer,7,Good for compact family itineraries,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Boating_in_Kodaikanal_Lake_with_Mist.jpg/330px-Boating_in_Kodaikanal_Lake_with_Mist.jpg
Hyderabad,Telangana,Tier 3,heritage food urban,17.3850,78.4867,winter,8,Strong city tourism and culinary appeal,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Downtown_hyderabad_drone.png/330px-Downtown_hyderabad_drone.png
Aurangabad,Maharashtra,Tier 3,heritage caves monument,19.8762,75.3433,winter,7,Ajanta and Ellora access point,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Bibi_Ka_Maqbara_-_The_Taj_Of_Deccan.jpg/330px-Bibi_Ka_Maqbara_-_The_Taj_Of_Deccan.jpg
Nashik,Maharashtra,Tier 3,spiritual vineyards culture,19.9975,73.7898,winter,6,Blend of pilgrimage and leisure tourism,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/NashikViewfromPandavLeni.jpg/330px-NashikViewfromPandavLeni.jpg
Bhopal,Madhya Pradesh,Tier 3,lakes heritage museum,23.2599,77.4126,winter,6,Useful hub for central India circuits,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Deewali_New_market.jpg/330px-Deewali_New_market.jpg
Khajuraho,Madhya Pradesh,Tier 3,heritage temple culture,24.8318,79.9199,winter,7,Internationally recognized temple complex,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/1_Khajuraho.jpg/330px-1_Khajuraho.jpg
Gwalior,Madhya Pradesh,Tier 3,fort heritage music,26.2183,78.1828,winter,6,Strong fort-led tourism city,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Gwalior_Fort_front.jpg/330px-Gwalior_Fort_front.jpg
Bhubaneswar,Odisha,Tier 3,temple heritage culture,20.2961,85.8245,winter,6,Gateway to Odisha tourism,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Bhubaneswar_skyline_121224.jpg/330px-Bhubaneswar_skyline_121224.jpg
Puri,Odisha,Tier 3,spiritual beach culture,19.8135,85.8312,winter,8,Unique temple plus beach demand,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Shri_Jagannatha_Temple.jpg/330px-Shri_Jagannatha_Temple.jpg
Konark,Odisha,Tier 3,heritage monument culture,19.8876,86.0945,winter,6,Pairs well with Puri and Bhubaneswar,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?auto=format&fit=crop&w=1200&q=80
Gangtok,Sikkim,Tier 3,mountains nature culture,27.3389,88.6065,summer,7,Popular eastern Himalayan city,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/M.G._Marg%2C_Gangtok_01.jpg/330px-M.G._Marg%2C_Gangtok_01.jpg
Shillong,Meghalaya,Tier 3,nature hills waterfalls,25.5788,91.8933,summer,7,Gateway for northeast tourism,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Elephant_Falls_II%2C_Shillong.jpg/330px-Elephant_Falls_II%2C_Shillong.jpg
Tawang,Arunachal Pradesh,Tier 3,monastery mountains landscape,27.5866,91.8633,summer,6,High-value scenic and spiritual destination,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/TawangMonastery-ArunachalPradesh-1.jpg/330px-TawangMonastery-ArunachalPradesh-1.jpg
