id,name,city,state,category,tags,rating,price_estimate,duration_hours,latitude,longitude,popularity_score,best_time,family_friendly,foreign_tourist_friendly,description,image_url
P001,Baga Beach,Goa,Goa,beach,"beach,nightlife,water-sports,north-goa",4.7,0,3,15.5553,73.7517,95,winter,true,true,"Popular beach escape in Goa with beachfront scenery, nightlife, and water sports.",https://upload.wikimedia.org/wikipedia/commons/a/a8/Baga_Beach%2C_Calangute%2C_Goa.jpg
P002,Calangute Beach,Goa,Goa,beach,"beach,family,sunset,north-goa",4.5,0,3,15.5439,73.7553,92,winter,true,true,"Popular beach escape in Goa with beachfront scenery, family outings, and sunset views.",https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Sunset_at_Calangute.jpg/3840px-Sunset_at_Calangute.jpg
P003,Anjuna Beach,Goa,Goa,beach,"beach,nightlife,flea-market,north-goa",4.6,0,3,15.5777,73.7391,90,winter,true,true,"Popular beach escape in Goa with beachfront scenery, nightlife, and flea market.",https://upload.wikimedia.org/wikipedia/commons/c/cf/Anjuna_Beach%2C_Goa%2C_India%2C_Legendary_Curlies_beach_shack.jpg
P004,Vagator Beach,Goa,Goa,beach,"beach,cliffs,sunset,north-goa",4.6,0,2.5,15.5986,73.7346,89,winter,true,true,"Popular beach escape in Goa with beachfront scenery, dramatic cliffs, and sunset views.",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/BeachFun.jpg/3840px-BeachFun.jpg
P005,Dudhsagar Falls,Goa,Goa,nature,"waterfall,nature,scenic,day-trip",4.8,400,4,15.3144,74.3143,93,monsoon,true,true,"Popular nature retreat in Goa with waterfall views, natural beauty, and scenic.",https://upload.wikimedia.org/wikipedia/commons/a/ad/Fort_aguada.jpg
P006,Basilica of Bom Jesus,Goa,Goa,heritage,"church,heritage,unesco,old-goa",4.7,0,1.5,15.5009,73.9110,88,winter,true,true,"Popular heritage landmark in Goa with church, heritage appeal, and UNESCO heritage value.",https://upload.wikimedia.org/wikipedia/commons/0/0b/Doodhsagar_Fall.jpg
P007,Fort Aguada,Goa,Goa,fort,"fort,heritage,sunset,coastal",4.5,0,1.5,15.4929,73.7681,85,winter,true,true,"Popular historic fort in Goa with fort architecture, heritage appeal, and sunset views.",https://upload.wikimedia.org/wikipedia/commons/9/9e/Front_Elevation_of_Basilica_of_Bom_Jesus.jpg
P008,Chapora Fort,Goa,Goa,fort,"fort,viewpoint,sunset,clifftop",4.5,0,1.5,15.5928,73.7343,84,winter,true,true,"Popular historic fort in Goa with fort architecture, panoramic views, and sunset views.",https://upload.wikimedia.org/wikipedia/commons/3/35/Fort_Chapora_26012016.jpg
P009,Palolem Beach,Goa,Goa,beach,"beach,relaxed,south-goa,kayaking",4.7,0,3,15.0099,74.0232,91,winter,true,true,"Popular beach escape in Goa with beachfront scenery, relaxed, and South Goa calm.",https://upload.wikimedia.org/wikipedia/commons/9/9c/Palolem_Beach%2C_South_Goa.jpg
P010,Colva Beach,Goa,Goa,beach,"beach,family,south-goa,waterfront",4.4,0,2.5,15.2797,73.9228,80,winter,true,true,"Popular beach escape in Goa with beachfront scenery, family outings, and South Goa calm.",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/BeachFun.jpg/3840px-BeachFun.jpg
